article                                    ,editor                       ,gender ,editcount,registration        ,emailable,rigths
Reproduction                               ,Sharif uddin                 ,male   ,2785     ,2013-12-01T18:14:59Z,undefined,45    
Mining_industry_of_South_Africa            ,Gravuritas                   ,male   ,1343     ,2013-07-28T11:55:50Z,undefined,45    
Pitch_(music)                              ,Fgnievinski                  ,unknown,18371    ,2008-03-23T14:37:53Z,undefined,45    
Reproduction                               ,W. P. Uzer                   ,unknown,6579     ,2013-07-13T09:29:48Z,no       ,45    
Nest                                       ,Probertsg                    ,unknown,120      ,2014-08-26T20:38:19Z,no       ,45    
Pitch_(music)                              ,Materialscientist            ,unknown,687584   ,2008-09-14T01:47:33Z,undefined,109   
Reproduction                               ,Riversid                     ,unknown,3307     ,2014-09-18T17:42:04Z,no       ,45    
Nest                                       ,FamAD123                     ,unknown,665      ,2012-11-29T21:09:57Z,undefined,45    
Reproduction                               ,Flyer22 Reborn               ,female ,226321   ,2007-05-02T16:16:15Z,undefined,48    
Reproduction                               ,Andromeas                    ,unknown,915      ,2009-01-26T21:48:21Z,undefined,45    
Mpumalanga                                 ,Vanellus                     ,unknown,149      ,2010-10-30T21:46:30Z,undefined,45    
National_symbols_of_South_Africa           ,Filedelinkerbot              ,unknown,77025    ,2014-01-21T13:56:14Z,undefined,54    
Reproduction                               ,Jarble                       ,male   ,46964    ,2008-06-01T22:42:33Z,no       ,45    
Pollution                                  ,Vsmith                       ,unknown,157663   ,2004-07-07T16:07:23Z,undefined,106   
National_symbols_of_South_Africa           ,Sundostund                   ,male   ,57439    ,2010-03-27T11:46:42Z,no       ,46    
Pollution                                  ,Info-Learn_ IL               ,unknown,84       ,2014-11-09T01:25:32Z,undefined,45    
National_symbols_of_South_Africa           ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Hand_washing                               ,Yobol                        ,unknown,14778    ,2006-09-09T21:47:10Z,undefined,47    
National_symbols_of_South_Africa           ,HelenOnline                  ,unknown,20952    ,2009-08-25T05:44:30Z,undefined,48    
National_symbols_of_South_Africa           ,Antemister                   ,unknown,2416     ,2009-09-01T16:08:53Z,undefined,45    
Pollution                                  ,FrescoBot                    ,unknown,675226   ,2009-02-19T07:08:26Z,undefined,53    
Pneumatics                                 ,Bazzargh                     ,unknown,3890     ,2006-04-17T20:34:17Z,undefined,47    
San_healing_practices                      ,HelenOnline                  ,unknown,20952    ,2009-08-25T05:44:30Z,undefined,48    
Sexism                                     ,Escape Orbit                 ,unknown,41657    ,2007-07-04T19:39:54Z,no       ,50    
Pneumatics                                 ,Andy Dingley                 ,male   ,99966    ,2007-02-19T16:16:00Z,undefined,48    
Pollution                                  ,Unbuttered Parsnip           ,unknown,15948    ,2007-08-20T00:24:02Z,undefined,45    
Mining_industry_of_South_Africa            ,Owais Khursheed              ,male   ,12221    ,2014-03-18T14:44:15Z,undefined,48    
Pneumatics                                 ,Wtshymanski                  ,unknown,54527    ,2004-11-21T22:55:52Z,undefined,45    
San_healing_practices                      ,Jtoppfargion                 ,unknown,19       ,2014-02-10T12:08:23Z,undefined,45    
Sexism                                     ,Banedon                      ,unknown,3985     ,2006-03-22T08:02:24Z,undefined,45    
Paper                                      ,John of Reading              ,male   ,404021   ,2009-12-27T11:47:08Z,undefined,49    
Sexism                                     ,EvergreenFir                 ,unknown,40447    ,2013-02-18T05:33:32Z,undefined,48    
South_African_locomotive_history           ,Stamptrader                  ,male   ,15947    ,2013-08-29T13:50:53Z,undefined,45    
San_religion                               ,Editor2020                   ,unknown,75168    ,2007-12-21T02:46:20Z,no       ,46    
Sexism                                     ,Flyer22 Reborn               ,female ,226321   ,2007-05-02T16:16:15Z,undefined,48    
Paper                                      ,Pigman                       ,unknown,31536    ,2005-06-02T03:32:51Z,undefined,106   
San_religion                               ,BDD                          ,male   ,84315    ,2004-12-04T16:21:53Z,undefined,106   
South_African_locomotive_history           ,Tony1                        ,male   ,138237   ,2005-07-14T07:23:48Z,undefined,50    
Paper                                      ,Kind Tennis Fan              ,unknown,13865    ,2013-07-14T14:13:41Z,undefined,47    
Paper                                      ,BeenAroundAWhile             ,male   ,69063    ,2006-03-19T15:15:14Z,undefined,48    
San_religion                               ,Knyzna1                      ,unknown,2109     ,2013-11-06T13:26:47Z,no       ,45    
San_religion                               ,Monkbot                      ,unknown,316561   ,2014-01-03T15:15:55Z,undefined,53    
San_religion                               ,AnomieBOT                    ,unknown,2121221  ,2008-08-07T17:09:33Z,undefined,53    
San_religion                               ,Trappist the monk            ,unknown,153146   ,2009-08-09T16:35:26Z,no       ,106   
Paper                                      ,Dexbot                       ,unknown,105517   ,2012-05-02T13:43:01Z,undefined,53    
Paper                                      ,דוד שי                       ,unknown,1431     ,2008-05-27T17:21:49Z,undefined,45    
San_religion                               ,HelenOnline                  ,unknown,20952    ,2009-08-25T05:44:30Z,undefined,48    
South_African_locomotive_history           ,Trappist the monk            ,unknown,153146   ,2009-08-09T16:35:26Z,no       ,106   
Paper                                      ,Ranze                        ,unknown,8547     ,2012-06-17T07:09:54Z,undefined,45    
Pneumatics                                 ,Aceruler1                    ,unknown,11       ,2014-12-20T00:11:09Z,no       ,45    
Tap_(valve)                                ,AnomieBOT                    ,unknown,2121221  ,2008-08-07T17:09:33Z,undefined,53    
National_symbols_of_South_Africa           ,Htonl                        ,male   ,31032    ,2005-07-16T20:13:20Z,undefined,48    
South_African_locomotive_history           ,Andre Kritzinger             ,male   ,20535    ,2009-03-14T13:23:20Z,undefined,48    
National_symbols_of_South_Africa           ,Arthur R                     ,unknown,1019     ,2005-06-03T17:45:50Z,no       ,45    
Nest                                       ,Giraffedata                  ,unknown,56251    ,2004-09-16T02:10:32Z,undefined,45    
Paper                                      ,Cngoulimis                   ,unknown,375      ,2007-07-08T14:16:49Z,undefined,45    
Tap_(valve)                                ,Chris the speller            ,unknown,356261   ,2005-10-24T20:40:21Z,undefined,48    
Settling                                   ,Monkbot                      ,unknown,316561   ,2014-01-03T15:15:55Z,undefined,53    
Settling                                   ,Daniele Pugliesi             ,unknown,4418     ,2008-08-20T00:52:35Z,undefined,45    
Tap_(valve)                                ,Kintetsubuffalo              ,male   ,156596   ,2005-10-11T02:11:02Z,undefined,49    
Tap_(valve)                                ,Helium4                      ,unknown,751      ,2010-01-02T13:15:08Z,undefined,45    
Rail_transport                             ,Middayexpress                ,unknown,109244   ,2008-06-14T19:46:22Z,undefined,46    
Settling                                   ,Materialscientist            ,unknown,687584   ,2008-09-14T01:47:33Z,undefined,109   
Rail_transport                             ,Srujana.bookie               ,unknown,2        ,2014-12-29T13:52:02Z,no       ,31    
Tap_(valve)                                ,Parabolooidal                ,unknown,1746     ,2013-12-30T19:06:55Z,undefined,45    
Rail_transport_in_South_Africa             ,Monkbot                      ,unknown,316561   ,2014-01-03T15:15:55Z,undefined,53    
Rail_transport                             ,Mcmatter                     ,unknown,13089    ,2010-06-01T16:38:59Z,undefined,48    
Rail_transport_in_South_Africa             ,Andre Kritzinger             ,male   ,20535    ,2009-03-14T13:23:20Z,undefined,48    
Rail_transport_in_South_Africa             ,Cydebot                      ,unknown,5095391  ,2006-04-07T01:24:50Z,undefined,108   
Rail_transport                             ,SimonTrew                    ,male   ,42444    ,2007-05-28T01:10:31Z,no       ,49    
Transport                                  ,Junaid2747                   ,unknown,7        ,2014-12-11T14:44:02Z,undefined,31    
Transport                                  ,Black Moon9                  ,unknown,1        ,2014-12-16T18:22:21Z,no       ,31    
Transport                                  ,Widr                         ,unknown,194556   ,2011-02-10T21:04:38Z,no       ,50    
Rail_transport_in_South_Africa             ,Hilton1949                   ,male   ,1099     ,2007-04-20T12:08:54Z,undefined,45    
Rail_transport_in_South_Africa             ,Chris the speller            ,unknown,356261   ,2005-10-24T20:40:21Z,undefined,48    
Rail_transport                             ,FrescoBot                    ,unknown,675226   ,2009-02-19T07:08:26Z,undefined,53    
Transport                                  ,Deor                         ,unknown,90955    ,2006-12-14T01:00:50Z,undefined,106   
Transport                                  ,Polmandc                     ,male   ,4938     ,2011-11-02T12:23:56Z,no       ,45    
Rail_transport                             ,Rjensen                      ,male   ,113186   ,2005-06-29T15:57:40Z,undefined,69    
Rail_transport_in_South_Africa             ,Iain Bell                    ,unknown,15156    ,2004-12-15T17:19:20Z,no       ,45    
Rail_transport_in_South_Africa             ,Aaron-Tripel                 ,male   ,23025    ,2011-11-05T15:16:47Z,no       ,45    
Transport                                  ,A. Parrot                    ,male   ,19554    ,2006-01-25T23:15:42Z,undefined,48    
Rail_transport_in_South_Africa             ,DePiep                       ,unknown,130188   ,2005-02-26T14:48:50Z,no       ,47    
Transport_in_South_Africa                  ,HelenOnline                  ,unknown,20952    ,2009-08-25T05:44:30Z,undefined,48    
San_rock_art                               ,Pgallert                     ,male   ,14535    ,2008-01-25T10:24:28Z,undefined,49    
Trade                                      ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Politics_of_South_Africa                   ,HelenOnline                  ,unknown,20952    ,2009-08-25T05:44:30Z,undefined,48    
Road_map                                   ,IronGargoyle                 ,male   ,82739    ,2006-01-21T17:32:07Z,undefined,106   
Trade                                      ,MusikAnimal                  ,male   ,95484    ,2011-07-04T02:02:16Z,undefined,108   
San_rock_art                               ,HelenOnline                  ,unknown,20952    ,2009-08-25T05:44:30Z,undefined,48    
Scale_(map)                                ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Road_map                                   ,J 1982                       ,unknown,52603    ,2006-01-11T17:09:27Z,no       ,46    
Transport_in_South_Africa                  ,Aaron-Tripel                 ,male   ,23025    ,2011-11-05T15:16:47Z,no       ,45    
Transport_in_South_Africa                  ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Stereotype                                 ,Jackfork                     ,unknown,12327    ,2007-02-02T04:20:08Z,no       ,46    
Standard_Model                             ,Axl                          ,male   ,26179    ,2004-11-04T13:59:56Z,undefined,48    
Politics_of_South_Africa                   ,Nescio vos                   ,unknown,606      ,2011-04-21T14:47:44Z,undefined,45    
Transport_in_South_Africa                  ,Trappist the monk            ,unknown,153146   ,2009-08-09T16:35:26Z,no       ,106   
Scale_(map)                                ,Frosty                       ,male   ,39350    ,2012-07-29T06:42:57Z,undefined,48    
Transport_in_South_Africa                  ,Htonl                        ,male   ,31032    ,2005-07-16T20:13:20Z,undefined,48    
Politics_of_South_Africa                   ,TristanPhoenix               ,unknown,194      ,2012-05-17T23:59:08Z,undefined,45    
Trade                                      ,Medium69                     ,unknown,568      ,2006-10-22T18:41:56Z,no       ,45    
Politics_of_South_Africa                   ,Philip Trueman               ,male   ,93836    ,2007-01-02T13:10:34Z,undefined,48    
Trade                                      ,Dylkc                        ,unknown,16       ,2008-02-24T04:45:56Z,undefined,45    
Stereotype                                 ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
San_rock_art                               ,Kwamikagami                  ,unknown,374075   ,2004-08-12T20:23:53Z,undefined,48    
Politics_of_South_Africa                   ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Politics_of_South_Africa                   ,Dodger67                     ,male   ,55850    ,2007-06-15T00:34:50Z,undefined,48    
Trade                                      ,Winterst                     ,unknown,3343     ,2009-05-07T21:50:14Z,no       ,45    
Standard_Model                             ,Bhny                         ,unknown,14433    ,2005-09-15T18:35:16Z,undefined,45    
Standard_Model                             ,Tetra quark                  ,male   ,3526     ,2014-12-10T20:05:46Z,undefined,45    
Stereotype                                 ,Pwjb                         ,unknown,1973     ,2005-12-16T00:12:27Z,undefined,45    
Transport_in_South_Africa                  ,LwandaShaunThomas            ,unknown,11       ,2014-07-27T07:28:53Z,no       ,45    
Road_map                                   ,Mitch Ames                   ,unknown,30332    ,2008-01-30T22:42:27Z,undefined,48    
Scale_(map)                                ,Peter Mercator               ,male   ,2172     ,2009-03-28T21:43:02Z,undefined,45    
Standard_Model                             ,FelixRosch                   ,unknown,1353     ,2013-11-10T12:46:34Z,no       ,45    
Transport_in_South_Africa                  ,Quenhitran                   ,unknown,11601    ,2013-06-19T07:15:45Z,undefined,48    
Road_map                                   ,Imzadi1979                   ,unknown,96499    ,2005-10-10T06:24:08Z,undefined,55    
Stereotype                                 ,Mahitgar                     ,unknown,3575     ,2006-08-15T12:00:14Z,undefined,45    
Scale_(map)                                ,Strebe                       ,unknown,4451     ,2003-02-09T21:34:43Z,undefined,45    
Sand                                       ,Mikenorton                   ,male   ,29078    ,2006-07-02T15:05:22Z,undefined,49    
Scientific_method                          ,AnomieBOT                    ,unknown,2121221  ,2008-08-07T17:09:33Z,undefined,53    
Scientific_method                          ,Cannolis                     ,male   ,16722    ,2009-04-21T12:12:49Z,no       ,48    
Scientific_method                          ,IjonTichyIjonTichy           ,male   ,6017     ,2012-04-11T23:56:07Z,no       ,45    
Sand                                       ,Materialscientist            ,unknown,687584   ,2008-09-14T01:47:33Z,undefined,109   
Soil                                       ,Trappist the monk            ,unknown,153146   ,2009-08-09T16:35:26Z,no       ,106   
Sound                                      ,Dondervogel 2                ,unknown,4962     ,2010-04-27T18:17:03Z,no       ,45    
Sand                                       ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Scientific_method                          ,Trappist the monk            ,unknown,153146   ,2009-08-09T16:35:26Z,no       ,106   
Scientific_method                          ,Ancheta Wis                  ,unknown,23768    ,2004-01-09T04:05:21Z,undefined,106   
Trade                                      ,Jackmuck4                    ,unknown,4        ,2014-10-29T23:40:39Z,no       ,31    
Sand                                       ,NawlinWiki                   ,unknown,219861   ,2005-06-30T03:42:56Z,undefined,107   
Textile                                    ,Wafaashohdy                  ,female ,1339     ,2010-10-12T07:07:43Z,undefined,45    
Scientific_method                          ,Flyte35                      ,unknown,8538     ,2007-01-08T19:54:14Z,undefined,45    
Soil                                       ,Zedshort                     ,male   ,7726     ,2011-10-21T02:50:28Z,no       ,45    
Sand                                       ,Library Guy                  ,male   ,3703     ,2013-10-17T22:57:40Z,undefined,45    
San_people                                 ,HelenOnline                  ,unknown,20952    ,2009-08-25T05:44:30Z,undefined,48    
Sound                                      ,MichiHenning                 ,male   ,1364     ,2011-11-30T22:19:04Z,undefined,45    
Scientific_method                          ,Lowellian                    ,unknown,39034    ,2002-04-17T10:13:41Z,undefined,106   
Sound                                      ,Vsmith                       ,unknown,157663   ,2004-07-07T16:07:23Z,undefined,106   
Sand                                       ,UNKoWn59                     ,unknown,4        ,2014-11-29T01:07:23Z,no       ,31    
San_people                                 ,MrSativa                     ,unknown,650      ,2005-07-21T08:31:48Z,no       ,45    
Sound                                      ,Euryalus                     ,unknown,27830    ,2007-04-09T04:17:09Z,undefined,114   
San_people                                 ,Abhay Kashyap                ,unknown,3        ,2014-12-29T05:41:01Z,no       ,31    
Sound                                      ,Melody Concerto              ,female ,3712     ,2006-01-23T21:49:29Z,no       ,48    
Sand                                       ,Zeus278                      ,male   ,18       ,2014-11-27T07:50:49Z,no       ,45    
Scientific_method                          ,Historian7                   ,unknown,148      ,2014-05-10T16:02:03Z,no       ,45    
Scientific_method                          ,LadyLeodia                   ,unknown,90       ,2014-12-14T22:24:15Z,no       ,45    
Textile                                    ,KylieTastic                  ,unknown,85976    ,2006-11-18T15:15:09Z,undefined,49    
Textile                                    ,John Cline                   ,male   ,54007    ,2010-03-23T21:25:50Z,undefined,57    
Textile                                    ,Deli nk                      ,female ,41540    ,2005-11-07T14:55:16Z,no       ,48    
South_African_cuisine                      ,HelenOnline                  ,unknown,20952    ,2009-08-25T05:44:30Z,undefined,48    
South_African_cuisine                      ,Passengerpigeon              ,male   ,6766     ,2012-10-11T08:14:17Z,undefined,46    
Right_to_food                              ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Wool                                       ,Randomperson699              ,unknown,5        ,2014-12-17T15:50:55Z,no       ,31    
South_African_cuisine                      ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Wool                                       ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Right_to_food                              ,LilyKitty                    ,female ,3470     ,2009-09-10T01:33:41Z,undefined,45    
Right_to_food                              ,Bobbillybob156               ,unknown,1        ,2014-04-12T17:53:50Z,no       ,31    
Steve_Biko                                 ,Youknowbest                  ,unknown,284      ,2008-10-18T18:43:21Z,no       ,45    
Textile                                    ,Widr                         ,unknown,194556   ,2011-02-10T21:04:38Z,no       ,50    
South_African_cuisine                      ,Gilliam                      ,male   ,293990   ,2005-10-17T04:51:12Z,undefined,106   
South_African_cuisine                      ,Len1652                      ,unknown,1        ,2014-08-19T16:22:26Z,no       ,31    
Right_to_food                              ,Macofe                       ,female ,1559     ,2014-04-08T07:19:22Z,no       ,45    
Textile                                    ,Materialscientist            ,unknown,687584   ,2008-09-14T01:47:33Z,undefined,109   
Wool                                       ,MusikAnimal                  ,male   ,95484    ,2011-07-04T02:02:16Z,undefined,108   
Scientific_method                          ,Charlotte Aryanne            ,female ,434      ,2014-09-29T17:04:20Z,no       ,45    
Wool                                       ,99of9                        ,male   ,11427    ,2004-09-27T17:11:03Z,undefined,48    
South_African_cuisine                      ,Namavleis                    ,unknown,18       ,2014-11-16T10:41:52Z,no       ,45    
South_African_cuisine                      ,Axxter99                     ,male   ,4281     ,2009-10-18T10:05:57Z,undefined,45    
Vibration                                  ,Gilliam                      ,male   ,293990   ,2005-10-17T04:51:12Z,undefined,106   
Two_foot_gauge_railways_in_South_Africa    ,Xqbot                        ,unknown,1337979  ,2008-10-13T04:54:12Z,undefined,53    
Rock_(geology)                             ,FrB.TG                       ,male   ,10553    ,2013-10-09T17:35:04Z,undefined,48    
Steve_Biko                                 ,Itsanne Fokkema              ,unknown,132      ,2014-11-03T15:30:50Z,no       ,45    
Walter_Sisulu                              ,Lotje                        ,female ,70306    ,2009-08-29T07:29:41Z,undefined,45    
Vibration                                  ,Jodosma                      ,male   ,33562    ,2013-01-11T20:45:29Z,undefined,45    
Steve_Biko                                 ,Rodericksilly                ,unknown,11734    ,2008-06-13T19:18:07Z,undefined,45    
Walter_Sisulu                              ,Carriearchdale               ,unknown,12530    ,2007-11-21T06:11:56Z,no       ,45    
Steve_Biko                                 ,Kelisi                       ,male   ,24633    ,2005-01-22T16:59:16Z,undefined,47    
Rock_(geology)                             ,JaconaFrere                  ,unknown,36660    ,2013-10-16T12:04:38Z,undefined,46    
Rock_(geology)                             ,Wolfdog                      ,unknown,9169     ,2006-03-12T18:57:53Z,undefined,45    
Rock_(geology)                             ,John beta                    ,unknown,2771     ,2010-01-28T07:12:47Z,no       ,45    
Rock_(geology)                             ,Dexbot                       ,unknown,105517   ,2012-05-02T13:43:01Z,undefined,53    
Vibration                                  ,Vsmith                       ,unknown,157663   ,2004-07-07T16:07:23Z,undefined,106   
Walter_Sisulu                              ,Lekoren                      ,unknown,41022    ,2012-12-04T23:34:42Z,no       ,46    
Rock_(geology)                             ,Paine Ellsworth              ,unknown,93401    ,2009-02-27T18:41:52Z,undefined,51    
Walter_Sisulu                              ,Waynejayes                   ,male   ,7746     ,2012-06-06T07:55:12Z,undefined,45    
Wool                                       ,Tutelary                     ,female ,16215    ,2012-01-07T07:19:04Z,undefined,48    
Vibration                                  ,Hyuna kim cl def Duffy       ,unknown,1        ,2014-10-07T23:00:29Z,no       ,31    
Rock_(geology)                             ,Spinningspark                ,male   ,56144    ,2007-03-03T09:41:30Z,undefined,107   
Steve_Biko                                 ,DogTwo                       ,unknown,321      ,2007-09-02T08:26:15Z,undefined,45    
Walter_Sisulu                              ,Aliwal2012                   ,male   ,9340     ,2012-02-25T19:28:02Z,undefined,45    
Walter_Sisulu                              ,Periglio                     ,unknown,10529    ,2012-07-05T06:48:44Z,undefined,45    
Steve_Biko                                 ,Waynejayes                   ,male   ,7746     ,2012-06-06T07:55:12Z,undefined,45    
Rock_(geology)                             ,Prof. Mc                     ,unknown,3583     ,2014-01-28T19:51:49Z,undefined,48    
Winnie_Madikizela-Mandela                  ,Philip Trueman               ,male   ,93836    ,2007-01-02T13:10:34Z,undefined,48    
Winnie_Madikizela-Mandela                  ,Magioladitis                 ,unknown,712417   ,2006-07-25T18:30:29Z,undefined,106   
Water_well                                 ,Antediluvian67               ,unknown,925      ,2007-12-18T20:23:35Z,no       ,45    
Youth_culture                              ,Frosty                       ,male   ,39350    ,2012-07-29T06:42:57Z,undefined,48    
Water_well                                 ,Mwtoews                      ,unknown,20008    ,2005-12-22T01:34:07Z,undefined,47    
Water_filter                               ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Wildlife_conservation                      ,Josve05a                     ,unknown,76173    ,2010-03-28T19:17:02Z,undefined,53    
Water_filter                               ,BRUTE                        ,unknown,5751     ,2009-06-09T10:03:26Z,undefined,48    
Wax                                        ,Gilliam                      ,male   ,293990   ,2005-10-17T04:51:12Z,undefined,106   
Water_well                                 ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Water_well                                 ,Winakvo                      ,unknown,11       ,2014-10-17T22:22:46Z,undefined,45    
Water_well                                 ,Sardanaphalus                ,unknown,119752   ,2005-09-11T00:20:43Z,undefined,45    
Water_filter                               ,DaveChild                    ,unknown,170      ,2008-06-10T07:27:29Z,undefined,45    
Winnie_Madikizela-Mandela                  ,Ohconfucius                  ,unknown,281116   ,2005-12-30T06:16:28Z,undefined,48    
Water_well                                 ,Xuccc1234                    ,unknown,1        ,2014-10-16T18:01:06Z,no       ,31    
Wildlife_conservation                      ,Hughhale                     ,unknown,1        ,2014-10-13T22:27:50Z,no       ,31    
Wildlife_conservation                      ,Janetpeterstempe             ,unknown,14       ,2014-10-06T19:04:47Z,undefined,45    
Water_filter                               ,Moreau1                      ,unknown,2657     ,2007-10-11T04:20:39Z,no       ,45    
Walter_Sisulu                              ,Moncrief                     ,unknown,29933    ,2003-10-27T18:17:30Z,no       ,106   
Walter_Sisulu                              ,All Hallow's Wraith          ,unknown,171344   ,2007-08-08T06:45:52Z,undefined,48    
Walter_Sisulu                              ,Inscription                  ,unknown,3363     ,2009-03-25T17:45:59Z,no       ,45    
Water_pollution                            ,Saisugash123                 ,unknown,5        ,2014-10-26T11:45:57Z,no       ,31    
Wetlands                                   ,William Avery                ,male   ,167959   ,2002-04-10T06:02:05Z,undefined,49    
Water_supply_and_sanitation_in_South_Africa,Mschiffler                   ,male   ,13508    ,2006-09-03T21:14:56Z,undefined,46    
Wood                                       ,A876                         ,male   ,4305     ,2006-04-11T01:23:41Z,undefined,45    
Wax                                        ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Wood                                       ,NewEnglandYankee             ,unknown,23882    ,2006-11-08T02:54:12Z,undefined,48    
Western_Cape                               ,Darthdyas                    ,unknown,1368     ,2007-12-04T12:00:40Z,undefined,45    
Water_pollution                            ,Vsmith                       ,unknown,157663   ,2004-07-07T16:07:23Z,undefined,106   
Water_pollution                            ,Gilo1969                     ,unknown,58979    ,2008-11-08T14:31:15Z,undefined,49    
Wildlife_management                        ,Jonesey95                    ,unknown,63245    ,2009-05-24T22:23:02Z,undefined,48    
Wax                                        ,Just plain Bill              ,unknown,13819    ,2005-12-22T18:55:44Z,no       ,47    
Wood                                       ,Nmcke1                       ,unknown,310      ,2014-08-20T15:23:00Z,no       ,45    
Water_supply_and_sanitation_in_South_Africa,Jim1138                      ,unknown,146307   ,2008-08-22T09:54:03Z,undefined,48    
Western_Cape                               ,Donner60                     ,male   ,100337   ,2010-07-17T00:03:20Z,undefined,49    
Water_pollution                            ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Water_pollution                            ,Josh3580                     ,male   ,18762    ,2005-12-01T23:12:38Z,undefined,48    
Wax                                        ,Magicwombat                  ,male   ,251      ,2004-11-24T20:33:15Z,undefined,45    
Water_pollution                            ,Scalhotrod                   ,unknown,18672    ,2007-12-10T21:14:33Z,no       ,45    
Water_supply_and_sanitation_in_South_Africa,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Western_Cape                               ,Nicdb                        ,unknown,101      ,2011-12-28T07:17:54Z,undefined,45    
Wax                                        ,Mean as custard              ,unknown,108594   ,2009-11-07T17:42:05Z,no       ,48    
Winnie_Madikizela-Mandela                  ,Mollmichaella                ,unknown,28       ,2014-11-17T13:52:26Z,undefined,45    
Western_Cape                               ,Greenman                     ,unknown,10298    ,2003-01-22T13:51:09Z,undefined,46    
Wildlife_management                        ,Funandtrvl                   ,female ,168677   ,2006-12-08T01:14:17Z,undefined,51    
Water_well                                 ,Stesmo                       ,unknown,19639    ,2006-05-24T19:49:15Z,no       ,47    
Wildlife_management                        ,Monkbot                      ,unknown,316561   ,2014-01-03T15:15:55Z,undefined,53    
Water_supply_and_sanitation_in_South_Africa,Magioladitis                 ,unknown,712417   ,2006-07-25T18:30:29Z,undefined,106   
Western_Cape                               ,Htonl                        ,male   ,31032    ,2005-07-16T20:13:20Z,undefined,48    
Winnie_Madikizela-Mandela                  ,Ken Gallager                 ,unknown,103839   ,2006-03-30T20:48:27Z,undefined,47    
Western_Cape                               ,Yobot                        ,unknown,4270016  ,2008-06-17T22:33:17Z,undefined,53    
Wood                                       ,NeilN                        ,male   ,99802    ,2005-08-30T04:11:00Z,undefined,106   
Water_supply_and_sanitation_in_South_Africa,Excirial                     ,unknown,182244   ,2007-10-05T14:48:37Z,undefined,106   
Western_Cape                               ,Bhele007                     ,male   ,113      ,2012-06-21T13:46:10Z,undefined,45    
Water_supply_and_sanitation_in_South_Africa,Amserstam                    ,unknown,73       ,2014-06-20T18:25:30Z,no       ,45    
Youth_culture                              ,Flyer22 Reborn               ,female ,226321   ,2007-05-02T16:16:15Z,undefined,48    
Youth_culture                              ,Gobonobo                     ,unknown,91894    ,2006-01-13T03:53:56Z,undefined,58    
Western_Cape                               ,Jesrael Jacobs               ,unknown,16       ,2014-06-14T08:24:17Z,no       ,45    
Wax                                        ,Yoyoman1567                  ,unknown,5        ,2014-11-23T20:09:53Z,no       ,31    
Winnie_Madikizela-Mandela                  ,Postcard Cathy               ,unknown,68140    ,2006-07-06T14:56:34Z,undefined,45    
Winnie_Madikizela-Mandela                  ,Naraht                       ,male   ,33408    ,2005-04-06T16:50:34Z,undefined,49    
Youth_culture                              ,David Biddulph               ,unknown,30557    ,2005-08-23T23:52:20Z,undefined,48    
Youth_culture                              ,Prof.Vandegrift              ,unknown,1220     ,2013-01-30T18:29:35Z,undefined,51    
Wildlife_conservation                      ,Bgwhite                      ,unknown,468754   ,2005-05-11T07:04:57Z,no       ,106   
