article_15,avg_size,edits
Mirza Sahiban,7497,1,
Miss Ecuador 2016,8212,1,
Miss Malaysia,5520,3,
Mistletoe,18516,1,
Mitosis,44649,1,
Mitrofan Cioban,890,1,
MLC School,69254,1,
Modern art,33393,1,
Modern gold dinar,8873,1,
Module talk:Buffer,1429,1,
Module:Subject bar,7468,1,
Molluscum contagiosum,20476,1,
Monday's Child,12875,1,
Mongol invasion of Europe,62269,1,
Mongolian wild ass,10972,1,
Moniza Alvi,4957,1,
Monologue,7293,1,
Monosodium glutamate,33544,1,
Mont Blanc,32856,1,
Montessori education,26793,1,
Moo,1089,1,
Moon Pilot,5730,1,
Moons of Saturn,112280,1,
Moors,49889,1,
Morecambe Bay,15473,5,
Mosh (software),10650,4,
Motion City Soundtrack,44883,1,
Motörhead,90438,1,
Mount Nimba Strict Nature Reserve,3835,1,
Mount Palmer (Alaska),1272,1,
Mount Saint Charles Academy,12879,3,
Mountain pass,7686,2,
MovieTickets.com,6325,1,
Mpumalanga,17383,1,
Mpumalanga,17405,2,
Mpumalanga,17628,1,
Mr Mercedes,26,1,
Mr. Krabs,6457,1,
MTN $5.2 billion fine,11053,1,
MTN Group,13538,1,
Muirfield High School,5800,1,
Multi-National Force – Iraq,74703,1,
Multiregional origin of modern humans,69203,1,
Music of South Africa,55944,1,
Music of South Africa,55976,2,
Music of South Africa,56250,4,
MyCiTi bus stations,6551,1,
MyCiTi,7120,1,
Mystery of the Urinal Deuce,6166,1,
Mystkowski,2574,1,
Métis people (Canada),51088,1,
Münchener Ratsch-Kathl,2935,2,
N. Chandrababu Naidu,28273,1,
Nagato-class battleship,49755,1,
Names of Vietnam,14668,1,
Namibia University of Science and Technology,11967,1,
Namoliki Sualiki,4635,1,
Natalism,15777,1,
National anthem of South Africa,6454,1,
National anthem of South Africa,6599,1,
National anthem of South Africa,6606,1,
National anthem of South Africa,6713,1,
National Board of Review: Top Ten Films,41521,9,
National Council (Namibia),3995,1,
National Government,777,1,
National Green Tribunal Act,11870,1,
National Parks Conservation Association,7804,1,
National symbols of North Korea,16069,2,
National symbols of South Africa,5559,2,
National team appearances at Rugby League World Cups,7502,1,
National unity government,13540,1,
National Women's Day,4252,3,
National Youth Competition (rugby league),13280,1,
Nationalist Movement,2998,2,
Natural capital,16305,1,
Natural resources of Africa,3981,1,
Navel in popular culture,140177,1,
Nazism and race,24107,1,
Nazism,132023,2,
NBA 2K (series),7542,2,
Nebraska State Capitol,35391,3,
Negative Utilitarianism,38979,2,
Negrito,12759,1,
Negrito,14750,1,
Neil Armstrong,104130,1,
Nelson Mandela,175581,1,
Nelson Mandela,175802,1,
Neo-Aramaic languages,8014,1,
Neo-Druidism,37029,1,
Neolentinus lepideus,4916,1,
Neonatal infection,27081,1,
Neonatal infection,27465,5,
Nest,24293,1,
Nestlé,79834,1,
Network Time Protocol,27188,1,
Never Have I Ever,3961,1,
New Hartford, New York,20784,2,
New Jersey Department of Law and Public Safety,2915,1,
New Marshfield, Ohio,2511,1,
New Suez Canal,9209,1,
New Year's Eve,93783,1,
New Year's Eve,94872,1,
New Year's Eve,95184,1,
New Year,37331,2,
Newark Liberty International Airport,68812,1,
Newfoundland and Labrador,100837,1,
Newton Highlands, Massachusetts,3484,1,
Newtown Abbey,3471,1,
Next Generation Supersonic Transport,2708,1,
Nick Saban,74353,1,
Nicolás de Jesús López Rodríguez,13256,4,
Nigel Cutland,1483,1,
Nihal Sri Ameresekere,12220,1,
Nimba Range,7775,1,
Nintendo 64,62971,1,
Nkondi,17789,1,
Noel Gallagher's High Flying Birds,16266,1,
Noise Control Act,2634,2,
Noise control,21875,1,
Noise pollution,16770,2,
Noise pollution,16789,1,
Noise pollution,16790,1,
Noise pollution,16993,1,
Noise pollution,17732,2,
Noise pollution,17846,1,
Noise, vibration, and harshness,8123,1,
Non-overlapping magisteria,13685,1,
Nonantum, Massachusetts,6310,1,
Nondispersive infrared sensor,3113,1,
Nordic aliens,4254,1,
Norfolk Southern Railway,52857,1,
Norman Bates,16677,1,
Norman Longworth,4197,1,
North African ostrich,6821,1,
North American Free Trade Agreement,47906,1,
North Sea,105175,1,
North West (South African province),15672,1,
North-Central American English,13718,1,
Northview High School (Grand Rapids, Michigan),4067,1,
Norwegian Americans,92127,2,
Nose,8049,1,
November 2015 Paris attacks,11927,3,
Novgorod Slavs,2589,1,
NTPC Limited,27548,1,
Nuclear power phase-out,76199,1,
Nutrition,111502,1,
Nvidia,26384,1,
Nypa fruticans,10976,1,
Nystagmus,27151,1,
O (surname),5634,1,
Oba (ruler),7306,1,
Obatala,4528,1,
Obeah,21167,1,
Ocean Park Halloween Bash,9941,1,
Ochroma pyramidale,9300,1,
October 12,41392,1,
Odd Einar Haugen,4312,1,
Oddrane,1107,1,
OFC Nations Cup,24243,1,
Off the Hook: Extreme Catches,4231,1,
Okram Ibobi Singh,3915,1,
Old Mutual,20013,1,
Old Presidency,7028,4,
Oliver Tambo,13048,1,
Oliver Tambo,13091,1,
Olof Thorin,807,1,
On the Late Massacre in Piedmont,4372,2,
Onager,17484,1,
One for the Angels,5306,1,
One Piece,88261,1,
One-drop rule,41580,1,
Online dating service,129065,1,
Online diary,9599,1,
Ontario Highway 69,28719,2,
Ontotext,3536,1,
Oort cloud,42361,2,
OpenBSD,60500,1,
OpenEd,6255,1,
Operation Lam Son 719,50577,1,
Opisthacanthus capensis,2862,1,
Opisthacanthus,3557,1,
Optical instrument,2669,1,
Or (heraldry),3605,1,
Orange Bowl,48944,1,
Orange Order,120949,1,
Orangi Town,12325,2,
Orbital,1794,3,
Order of precedence in the Republic of Ireland,13905,3,
Oregonia, Ohio,2406,1,
Organic certification,55152,2,
Oriental magpie-robin,18029,1,
Origin of the Moon,17130,1,
Orion (mythology),55967,1,
Orlando Pirates,19900,4,
Orlando, Florida,89862,1,
Orthotics,20634,1,
OS X,106907,8,
Osaka,81835,1,
Osama bin Laden's house in Khartoum,9597,1,
Oshawa,53851,2,
Osmia rufa,36060,2,
Ould Daddah,275,1,
Outer space,97049,1,
Outer space,97149,1,
Outer space,97195,1,
Outer space,97196,1,
Outline of domestic violence,40403,3,
Outline of Perl,32543,6,
Outline of physics,34191,1,
Overclocking,34359,1,
Ox Hill Battlefield Park,15428,1,
Oxamide,3499,1,
Oxytone,750,1,
Paektu Mountain,30894,1,
Page Eight,12485,1,
Painted turtle,126452,2,
Pair programming,15088,2,
Palace of Capodimonte,7417,1,
Palash Kumar,922,1,
Palermo, Buenos Aires,15033,1,
Pamela Rogers Turner,7159,1,
Panda (disambiguation),4385,1,
Panguitch Lake,3163,1,
Papal resignation,19216,1,
Paper,28845,1,
Paratrigona subnuda,25358,1,
Pardo Brazilians,40660,1,
Pareidolia,19001,1,
Paria,1024,1,
Parsing,25418,1,
PAS,2349,1,
Passenger pigeon,107497,2,
Pat Buchanan,60503,1,
Pat Cummings,10603,1,
Pat Ramsey,3228,1,
Patna Police,11418,1,
Patrick Ouart,1069,1,
Paul Carpenter Standley,2125,1,
Paul I. Richards,457,3,
Paul Kagame,131084,1,
Paul Murphy (Irish politician),14738,1,
Paul Murray (radio presenter),7945,8,
Paul O'Brien,4381,2,
Paul Smith (film and television composer),7086,3,
Paul Tighe,6439,1,
Paulie Pennino,8266,1,
Payola,23672,1,
Peccary,13844,1,
Pekmez,2398,1,
Pennington railway station,5525,1,
People Against Gangsterism and Drugs,8187,2,
Perdita portalis,17503,1,
Peregrine falcon,85740,1,
Perfluoroheptane,1221,3,
Perineal raphe,1610,1,
Perl data types,48,1,
Permian–Triassic extinction event,101635,1,
Persecution of traditional African religion,9116,1,
Persian language,87327,1,
Persian Wikipedia,5451,1,
Personal trainer,14673,2,
Peter Biller,1721,1,
Peter De Clercq,2166,1,
Peter de Clercq,2502,1,
Peter England,1286,1,
Peter Salamon,1056,1,
Peter's Daughter,9986,1,
Petr Bidař,10659,1,
Petr Brandl,3476,2,
Phil Taylor (musician),11516,1,
Philip II of Macedon,28310,1,
Philip IV of Spain,54566,1,
Philip Wolfe (engineer),7893,2,
Phoenix (mythology),7469,1,
Phoenix Suns,87619,10,
Phoenix, Arizona,166646,1,
Phosphoinositide 3-kinase inhibitor,17744,1,
Photographers of the American Civil War,66939,1,
Phrack,15957,1,
Phthalic anhydride,11991,1,
Phumulo Masualle,216,1,
Phuthu,40,1,
Physical exercise,67728,2,
Physical fitness,29338,1,
Physical fitness,29597,1,
Pia mater,20133,2,
Piano Variations (Copland),10190,4,
Pickled,43,1,
Picws Du,5968,1,
Pierre Maillard,14204,1,
Pierre Spies,8871,1,
Pierre,5314,1,
Pietro Dib,1138,1,
Pietro Parolin,25897,1,
Piezoelectric sensor,15413,1,
Pilgrims (short story collection),2288,1,
Pin firing,1843,1,
Pink Dot SG,43334,3,
Pistachio,23828,1,
Pitch (music),26591,2,
Pitch (music),26595,1,
Pitch (music),26614,1,
Pitch (music),27586,1,
Plano, Illinois,25285,1,
Plastic bag,10510,2,
Plebeia remota,23612,1,
Pneumatic tool,3570,1,
Pneumatics,7199,1,
Pneumatics,7340,1,
Pneumonia,74995,2,
Poales,9818,2,
Poison pen (weapon),312,2,
PokerStars,20379,1,
Polar ice cap,10993,1,
Pole position,15357,1,
Polish Corridor,58280,1,
Political correctness,61680,1,
Politician,8933,1,
Politics of South Africa,9659,1,
Politics of South Africa,9819,1,
Politics of South Africa,9837,1,
Politics of South Africa,9838,1,
Pollyanna (1960 film),11420,1,
Polydnavirus,21047,1,
Polyploid,75537,1,
Pommes soufflées,1138,1,
Popular sovereignty,8,1,
Population,15435,4,
Poraqueiba sericea,2821,3,
Porphyria,44475,1,
Port San Carlos,1281,1,
Portuguese Mozambique,58135,2,
Potassium nitrite,10265,1,
Potassium,69519,1,
Pottery,61685,1,
Powers of the United States Congress,24270,1,
Prader–Willi syndrome,29492,1,
Preludes (Chopin),23814,3,
President of Indonesia,24965,1,
Preston on the Hill,10164,2,
Primordialism,9228,1,
Prince Joseph Wenzel of Liechtenstein,8730,1,
Princess Leia,74701,1,
Printed circuit board,66197,1,
Prionium,4796,2,
Private investigator,18162,1,
Professional cookie eating,19,1,
Project 86,66703,3,
Prokaryote,32332,1,
Proof (rapper),15458,1,
Prosopography,11360,2,
Provence-Alpes-Côte d'Azur,16306,2,
Providence, Kentucky,10424,1,
Public health,71193,1,
Public holidays in Japan,13290,1,
Public holidays in Thailand,21990,2,
Puella Magi Madoka Magica,65106,1,
Pulse (legume),8193,1,
Puntarenas (canton),3703,1,
Purchasing power parity,33007,1,
Pyunik Stadium,1379,1,
Pyunik Training Centre,1444,1,
Péter Perjés,6200,1,
Qasr al-Hayr al-Gharbi,3066,1,
Qatar,137634,1,
QB VII,4456,1,
Queen's Counsel,48890,9,
Quinceañera,17685,1,
Quisling,11420,1,
Quran,108019,1,
R. K. Narayan,66651,1,
R. K. Rubugunday,1944,1,
R. Leonard Brooks,1395,1,
Races of StarCraft,58518,2,
Rachael Margot Smith,2867,2,
Racial hygiene,7911,1,
Racial policy of Nazi Germany,50461,1,
Racial segregation,81626,1,
Racism in Poland,9527,1,
Radio (2003 film),11868,1,
Radio frequency,15516,1,
Radioactive waste,82397,1,
Radiocarbon 14 dating of the Shroud of Turin,54563,3,
Rafer Alston,19618,2,
Rail transport in South Africa,13561,2,
Rail transport in South Africa,13643,1,
Rail transport in South Africa,13644,1,
Rail transport,66851,1,
Rail transport,66903,1,
Rail transport,66957,1,
Ralf Stegner,2274,1,
Rally (stock market),1258,2,
Ramani,447,1,
Ramayana,58913,1,
Ramco Institute of Technology,3071,1,
Randy Bullock,12513,1,
Rassenschande,22254,1,
Ravine des Casoars Wilderness Protection Area,7915,1,
Reading (process),42754,1,
Recent deaths,28,1,
Recoleta, Buenos Aires,25794,1,
Recreating the woolly mammoth species,51,1,
Recruit training,40753,1,
Red Poppy,7005,4,
Red Queen hypothesis,23061,1,
Red-throated loon,40739,1,
Reductio ad absurdum,10689,1,
Reference designator,8648,1,
Refractory period (sex),10578,1,
Regulatory science,14472,1,
Rehoboth Rural,2287,2,
Relationship between religion and science,128235,1,
Religion and sexuality,74783,1,
Religion in Bangladesh,9939,1,
Religion in Canada,82160,1,
Religion in the Inca Empire,6646,1,
Religious interpretations of the Big Bang theory,21712,1,
Remsen, New York,12519,1,
Remsen,447,1,
Rena Kubota,39764,2,
Republic of Mirdita,4113,1,
Republican Party of India (Democratic),2171,2,
Republicanism in the United States,51003,1,
Resistance,5351,1,
Return of the Jedi,52238,1,
Rey (Star Wars),21232,1,
Rhex,8078,1,
Rhino Cup,2485,4,
Rhyming dictionary,2685,1,
Ricardo Fazenda,1433,1,
Rice, Virginia,6039,1,
Richard Cain,10193,1,
Richard Lindzen,60973,1,
Richard Morris,1673,1,
Richard R. Lavigne,3821,1,
Richat Structure,8388,1,
Richie Unterberger,6821,2,
Right to die,15280,1,
Right to water,40022,1,
Rijksakademie,10096,1,
Ring-imaging Cherenkov detector,16596,2,
Rio de Janeiro,130708,5,
Rita Mae Brown,15872,1,
River Char,417,1,
River Tawe,5064,1,
Road map,7862,2,
Road map,8145,1,
Rob Adam,11218,2,
Rob Van Dam,148804,1,
Robert Cooley (lawyer),2855,1,
Robert de Chesney,32198,1,
Robert Edouard Moritz,1191,1,
Robert Henry Best,10931,1,
Robert John Hibbs,6119,1,
Robert Shetterly,4408,1,
RoboSapien,5554,1,
Rock (geology),14461,1,
Rockall,47534,2,
Rocko's Modern Life,71405,1,
Rocky River (Kangaroo Island),1408,1,
Rodger Bumpass,13023,1,
Rodrigo Duterte,55719,3,
Roger Lupton,16165,1,
Roger Phillips,5160,1,
Rojava,59145,1,
Roma Termini railway station,16039,2,
Roman Catholic Diocese of Kildare and Leighlin,9182,1,
Roman Maev,11135,2,
Romance film,6567,1,
Romanticism,118610,1,
Romanticism,118836,2,
Ron Paul newsletters,20507,1,
Ronald L. Coker,8399,1,
Ronaldo (film),4869,1,
Ronnie Cooke,33149,1,
Rooibok,20,1,
Root hair,2673,1,
Rory Culkin,7818,2,
Rosa 'Old Blush',4767,1,
Roslagen,3063,1,
Rotterdam The Hague Airport,10618,2,
Royal Canadian Mounted Police,91232,1,
Royal Danish Academy of Fine Arts,9114,1,
Royal Flying Corps,72796,1,
Royal Thai General System of Transcription,15939,1,
Rubber-tyred metro,18589,1,
Rudolf Virchow,77346,1,
Rugby League World Cup,36577,1,
Rungrado 1st of May Stadium,6418,1,
Rural poverty,65236,1,
Russ Rose,17007,1,
Russian destroyer Admiral Panteleyev,3107,2,
Russian mafia,50355,1,
Rwanda,147756,1,
Ryan Trecartin,5297,1,
Rynhardt Elstadt,4558,1,
S.H.I.E.L.D.,67129,1,
Sack of Rome (546),4852,2,
Safe sex,41139,1,
Safe Space (South Park),6410,1,
Saga,11676,1,
Saguaro,16295,3,
Sahara Davenport,8297,2,
Saint Lawrence River,20946,1,
Saint Matthias,10528,2,
Sajeeb Wazed,11048,1,
Saleina Glacier,934,1,
Salim Ali,39388,2,
Salt March,53208,3,
Salvadoran Canadians,4895,1,
Same-sex union legislation,251778,3,
Samguk Sagi,26168,1,
Samoa flying fox,4528,1,
Samuel Crompton,8696,1,
San Antonio Botanical Garden,4873,1,
San healing practices,10215,1,
San healing practices,10321,1,
San Miguel, El Salvador,7886,1,
San people,61269,4,
San people,62476,2,
San people,62508,1,
San people,62576,1,
San Ramón, Costa Rica,7936,1,
San religion,17823,1,
San religion,18345,1,
San rock art,7256,1,
San Telmo, Buenos Aires,13245,1,
Sanctuary of Madonna of Miracles,6090,1,
Sanctuary,14661,1,
Sand,14676,1,
Sand,14680,1,
Sand,14862,1,
Sandhi,4967,1,
Sandy Hill (mountaineer),13352,2,
Sanitation,36387,1,
Santa Barbara Channel,5454,1,
Saratoga (film),8663,1,
Satyendra Nath Bose,24982,1,
Savanna,28101,1,
Sax (song),7374,1,
Scale (map),33375,2,
Scale (map),33404,1,
Scale (map),33411,1,
Scar (The Lion King),90803,1,
Schotia afra,2933,2,
Scientific instrument,6636,1,
Scientific method,141631,3,
Scientific method,144273,2,
Scientology,217484,2,
Scleria mackaviensis,1846,1,
Scott Allen Nollen,19634,1,
Scott Fischer,14945,1,
Scoville scale,21914,1,
Scrambler,13291,1,
Scrapple,7662,1,
Securities market,14269,1,
Security seal,10278,2,
Seed dispersal,23117,2,
Seiji Ozawa,18155,1,
Self-balancing two-wheeled board,27794,1,
Self-defence in English law,23138,1,
Selfie,42050,1,
Sergio Di Zio,7590,1,
Sesame (framework),3677,1,
Settling,10249,1,
Settling,10277,1,
Settling,10434,1,
Sex assignment,22621,2,
Sexism,166549,2,
Sexism,167291,4,
Sexism,167908,1,
Sexism,167908,1,
Sexual attraction,14442,1,
Sexual attraction,14446,1,
Sexuality after spinal cord injury,87324,1,
SF-36,4861,5,
Shampoo,30800,1,
Sharia4Holland,4978,1,
Sharpeville massacre,13342,1,
Sheikh Hasina,37179,1,
Sheldon Allman,4140,1,
Shining Blade,7655,1,
Shizuo Akira,7565,1,
Shqipe N. Duka,1123,3,
Shrewsbury High School (Massachusetts),5982,1,
Shroud of Turin,116679,6,
Shuriken,12575,1,
Siebel Institute of Technology,1132,1,
Sierra Leone,160930,1,
Sikhote-Alin Biosphere Reserve,41,1,
Silchar,34163,1,
Silene dioica,5659,1,
Silene noctiflora,4162,1,
Silene viscaria,2444,1,
Silicon controlled rectifier,10566,1,
Silicon,60481,1,
Silk,45566,1,
Silo (disambiguation),1322,1,
Silo,28963,2,
Silt,7584,1,
Silver Machine,15651,1,
Silver ratio,8784,1,
Silver RavenWolf,6389,2,
Simon Byrne (police officer),4789,1,
Simon Fraser (explorer),16723,1,
Simon Hall,653,1,
Simon Slade,3162,1,
Simulation hypothesis,22057,1,
Sinivie Boltic,1391,1,
Sisterdale, Texas,18489,1,
SitePoint,6230,1,
Sith,28190,1,
Six Flags New Orleans,32834,1,
Skeleton,16850,1,
Skolt Sami language,28391,1,
Skopje,147487,1,
Sleaford,126600,1,
Sleeping Sun,8805,1,
Slightly Not Stoned Enough to Eat Breakfast Yet Stoopid,3165,1,
Slightly Stoopid,21819,6,
SLMAP,3961,1,
Slugterra,11652,1,
Smart label,5778,2,
Smooth toadfish,28467,1,
SMS Fürst Bismarck (1897),14363,1,
Sniper rifle,37262,1,
SNLT,44,1,
Social issue,18690,1,
Social media,143167,1,
Social responsibility,20215,2,
Sodium aluminate,5603,1,
Sofia Milos,5735,1,
Soil moisture sensor,6334,2,
Soil,199318,1,
Soil,199368,1,
Soil,199424,1,
Soil,199438,1,
Solanum aethiopicum,7701,2,
Solar charger,6646,1,
Solenoid valve,16528,1,
Somebody Told Me,15305,1,
Sonic Boom (TV series),33767,1,
Sonic X,50717,1,
Sony Computer Entertainment,74114,2,
Sorites paradox,23941,1,
Sound,28776,1,
Sound,28793,7,
South Africa,135503,1,
South Africa,140094,1,
South African Army,71510,1,
South African Class 22E,10998,1,
South African Class 7F 4-8-0,10686,1,
South African Class GK 2-6-2+2-6-2,9439,1,
South African cuisine,19047,2,
South African cuisine,19049,2,
South African cuisine,19054,2,
South African cuisine,19098,1,
South African family law,48850,1,
South African Republic,32047,1,
South California Purples,2921,1,
South-West Coast state by-election, 2015,14228,2,
Southampton Solent University,15335,1,
Southwestern Arabian montane woodlands,1905,1,
Space Shuttle,121462,1,
Spaceflight,36676,1,
Spacetoon,18082,1,
Spanish language,156344,1,
Spartan army,43895,2,
SPC-1000,1153,2,
Specific strength,12274,1,
Speed of light,117130,1,
Speed of light,117965,1,
Spencer Bledsoe,1003,1,
Spin (physics),51552,1,
Spin bowling,8002,2,
Spoke,12158,1,
Spot the Dog,18020,1,
Spray pond,1116,1,
Spudger,2779,3,
Square dance,21212,1,
Square root of 5,18096,1,
Square triangular number,11381,1,
Srimathumitha,23387,1,
St Martin's Cathedral, Ypres,4270,1,
St. John Bosco High School,11368,1,
St. John's Jr. Caps,8068,1,
St. Olaf Choir,6062,1,
Stabroek, Guyana,9918,1,
Standard Model,48420,1,
Standard Model,48423,1,
Standard Model,48457,1,
Standish-Sterling Community Schools,2070,1,
Stanley Harbour,4463,2,
Star Wars (film),167471,1,
Star Wars (film),171334,1,
Star Wars Episode III: Revenge of the Sith,74762,4,
Star Wars: The Force Awakens,170551,1,
Star Wars: The Force Awakens,172300,1,
Star, Bryansk Oblast,765,1,
Start-up Nation,18460,1,
State atheism,50787,2,
State Farm Insurance,21468,1,
Steph Houghton,15404,1,
Stephen McNallen,16952,1,
Stereotype,83058,1,
Stereotype,83069,1,
Stereotype,83079,1,
Stereotype,83107,2,
Stereotype,83193,1,
Steve Aoki,60632,1,
Steve Biko,29664,1,
Steve Biko,29741,1,
Steve Hofmeyr,11583,1,
Steve Zahn,13994,1,
Steven Avery,12456,2,
Steven Spielberg,131502,1,
Stevie Wright (Australian singer),27407,1,
Stewart Brand,23666,2,
Stewart, Ohio,2088,1,
STG-556,4186,1,
Stilyagi,7943,1,
Stitches (song),21093,1,
Stratosphere,11049,1,
Street lighting in the District of Columbia,29576,1,
Stroudsburg, Pennsylvania,17501,1,
Stuart Little (film),12478,1,
StubHub,43058,1,
Subdivision (land),7930,1,
Subjective well-being,41592,1,
Sudbury District,12286,2,
Suez Canal Area Development Project,14434,1,
Sugarcane,47800,2,
Suicide Squad (film),32845,1,
Suitcase,2675,1,
Suits (TV series),50626,1,
Sulfuric acid,51747,1,
Super Bowl 50,26213,1,
Superfluous,443,2,
Superheating,6269,1,
Supersonic transport,37674,1,
Supersymmetry,40950,1,
Supply-side economics,56310,1,
Surveying,51915,2,
Survivalism,69727,1,
Susan Bennett,7043,2,
Susanne Bobzien,9152,1,
Sushi,55491,2,
Swarm intelligence,44198,1,
Sweeney Todd: The Demon Barber of Fleet Street (2007 film),50348,1,
Sweepstakes Winner,2731,1,
Swimming (sport),42659,1,
Sydney Beck,4476,1,
Symmetry,28286,2,
Symphony No. 28 (Mozart),2135,1,
Symphony No. 6 (Mahler),30833,1,
Syntax,18809,3,
Synthesizer,106646,4,
Syracuse University,105805,1,
Syrian Jews,52303,1,
T-12 Cloudmaker,4239,1,
T. Eugene Thompson,1342,1,
Table Mountain Sandstone (Geological Formation),16654,5,
Table Mountain,38844,1,
Taijitu,21034,4,
Tallow,9516,1,
Tamara Oudyn,2675,1,
Tambor, Costa Rica,701,4,
Tamborim,2548,1,
Tan Hill, North Yorkshire,8228,1,
Tanakh,20404,1,
Tanzanian cheetah,11913,2,
Taoism,66345,1,
Tap (valve),13385,1,
Tap (valve),13662,1,
Tap (valve),13668,1,
Tap (valve),13678,2,
Tap (valve),13699,1,
Tasha Reign,24518,1,
Tattersalls,6348,2,
Taxonomic sequence,3707,1,
Tchaikovsky (disambiguation),31,1,
Ted Cruz,104385,1,
Ted Cruz,104657,1,
Ted Sator,16629,1,
Ted Supalla,9421,2,
Tehom,2756,1,
Telecom Regulatory Authority of India,5773,1,
Telkom (South Africa),27146,1,
Tembakounda,1020,1,
Temperature,85522,2,
Tenerife AB,3301,1,
Tennessee Titans,25785,1,
Tennis,96100,1,
Tepal,5260,1,
Teresa, Rizal,10691,1,
Terminal ballistics,42036,1,
Tess Holliday,45561,1,
Tetanic contraction,2854,3,
Tetragonisca angustula,27927,1,
Texas State University,62713,1,
Textile,27704,3,
Textile,28281,1,
Textile,28440,3,
Tf–idf,15875,1,
Thane,12186,1,
The Addams Family,37152,1,
The Address Downtown Dubai,4436,1,
The Address Downtown Dubai,5006,1,
The Amazing Race 27,52999,1,
The Amazing Race,100394,1,
The arts,28642,1,
The Benny Hill Show,16378,1,
The Breaks (2016 film),2860,2,
The Dana Girls,15797,1,
The Druid Order,6038,1,
The Dumping Ground (series 4),4937,1,
The Fairly OddParents,30183,1,
The Famous Five (1990s TV series),5007,1,
The Fault in Our Stars (soundtrack),11663,1,
The Fighter Collection,12592,4,
The Fireclown (disambiguation),294,1,
The Fumble,5410,1,
The Game (mind game),16143,1,
The Glus,1383,1,
The Gods Must Be Crazy,10192,1,
The Hardy Boys,54804,2,
The Hateful Eight (soundtrack),19770,1,
The Hateful Eight,49632,1,
The Holocaust,301881,1,
The Jungle Book (1967 film),39562,2,
The Jungle Book 2,10568,2,
The Lego Group,24950,1,
The Majority Report,9772,2,
The Maltese Falcon (yacht),12057,1,
The Maritimes,56080,2,
The Maze Runner (series),3024,1,
The Muppet Christmas Carol,23457,1,
The Naked Gun 2½: The Smell of Fear,15472,1,
The Outsiders (film),12602,1,
The Page News and Courier,2645,1,
The Parent Trap (1961 film),11087,1,
The Paris Architect,7915,1,
The Plains, Ohio,8567,1,
The Presidents of the United States of America discography,17091,2,
The Quiet Man,23282,1,
The Reader Magazine,5116,1,
The Real Deal (magazine),7287,2,
The Rev,10826,1,
The Revenant (2015 film),54774,1,
The Saint (music venue),10237,9,
The Seven Little Foys,3972,1,
The Shot,6068,2,
The Snowman,15403,1,
The Sum of All Fears (film),24718,1,
The Swaen (malt house),3884,1,
The Ten Thousand Things,4042,1,
The Three Lives of Thomasina,9779,1,
The Wagons Roll at Night,2994,1,
The Walking Dead (TV series),121743,1,
The Woman of the Town,4650,1,
The Zygon Invasion,19724,1,
Thelonious Monk and Sonny Rollins,3997,3,
Therapeutic touch,15298,1,
Theresa Russell,7761,1,
Thermistor,19840,2,
Thomas Gresham,15470,1,
Thomas Hache II,1260,2,
Thomas Pogge,15471,1,
Thompsonville, Massachusetts,2432,1,
Thorley Walters,9156,1,
Thornden School,12281,1,
Thrangu Monastery,10306,2,
Thrissur,78489,1,
Tiamat,17535,1,
Tiger,126316,1,
Tiki,7513,1,
Tim Noakes,10669,1,
Time,106811,1,
Time-dependent viscosity,8702,1,
Timeline of Mexican history,9320,2,
Times Atlas of World History,46,1,
Timing belt (camshaft),14529,1,
Timothy Ball,28149,1,
Tinder (app),23312,1,
Tinder (app),23344,1,
Tinkle,11516,1,
Tirupati,61823,1,
Titanium hydride,17159,1,
Tofaş S.K.,15325,1,
Togo,37272,1,
Toilet paper,24713,1,
Tongdaeng,4508,1,
Tony Sheldon,7928,1,
Top of the World (Slightly Stoopid album),7248,1,
Torpedo Alley,15851,1,
Torrijos–Carter Treaties,15929,1,
Tory Lanez,18514,1,
Totally Spies!,29384,1,
Touching Spirit Bear,8558,2,
Tracy Pollan,10723,1,
Trade,19527,2,
Trade,39407,1,
Trance music,28917,1,
Trans-Pacific Partnership,94763,1,
Trans-Saharan trade,21215,1,
Transpiration,10068,2,
Transport in Germany,20210,1,
Transport in South Africa,8242,1,
Transport in South Africa,8606,1,
Transport in South Africa,8607,1,
Transport in South Africa,8622,1,
Transport in South Korea,15626,1,
Transport,38570,1,
Transport,39249,1,
Transport,39259,1,
Transport,40048,2,
Transportation of the President of South Africa,233,3,
Travis (chimpanzee),32023,3,
Travis Coons,3138,1,
Trebonius,11712,5,
Trebuchet,28812,1,
Treefall gap,17275,1,
Trent Boult,17788,1,
Trigonocephaly,33842,1,
Trimezia martinicensis,4422,1,
Truncated 24-cells,20787,1,
Tulpar (IFV),5328,1,
Turkey (bird),14590,1,
TWA Flight 800 (1964),2826,1,
Twelve Apostles of Ireland,7132,1,
Twin city,1074,1,
Type 94 75 mm Mountain Gun,9310,1,
Type specimen (mineralogy),2834,1,
Ubuntu (operating system),84296,1,
UEFA European Championship,45959,1,
UFC 193,16700,1,
UFC Fight Night: Silva vs. Bisping,3730,1,
UKhahlamba-Drakensberg Park,3753,1,
Umari,302,3,
Unbreakable (Janet Jackson album),57064,1,
Uncanny,13405,1,
Undulatus asperatus,5040,3,
Uniform polyhedron,60662,8,
Uniformly bounded representation,20682,1,
United Apostolic Church,15160,1,
United Kingdom,292610,1,
United Nations General Assembly,31167,1,
United States Department of Energy,25045,1,
United States Department of Housing and Urban Development,26082,2,
United States presidential election, 2012,124356,1,
United States pro-life movement,32611,2,
