article_14,edits,avg_size,
Ekwow Spio-Garbrah,1,7407,
University of Mines and Technology,1,4725,
Korle-Bu Teaching Hospital,1,8431,
Tito's Blue Train,1,2794,
National anthem of South Africa,1,6521,
Die Stem van Suid-Afrika,1,10942,
Acre-foot,1,5060,
Shaun Morgan,1,12108,
Afrikaners,1,69329,
Bill & Melinda Gates Foundation,1,70753,
Public Services International,1,3642,
International Federation of Journalists,1,10978,
Scott DesJarlais,2,18219,
Rick Santorum,1,144113,
United States House of Representatives elections in Tennessee_ 2012,4,44302,
DD Yadagiri,1,3870,
Main Street (quartet),1,2034,
Richard E. Schermerhorn,1,6076,
Alexander Wood (physicist),1,4553,
Wijcik McIntosh,1,1341,
Arnold E. Brown,1,3412,
Kraus Campo,1,2836,
Akiko Yazawa,1,604,
Mariote Ker,1,565,
Pope Francis,4,225779,
The Interview (2014 film),6,48542,
Sun tanning,3,29938,
Bulk billing,6,4432,
Fuel taxes in Australia,1,5686,
Electric motor,1,107131,
Redskin (slang),1,44964,
Partition type,1,69961,
Nigel Twiston-Davies,1,1541,
Simon Gallaher,1,2651,
Terrestrial crab,1,3603,
Justin Parker,1,8809,
Dragon Ball Z,1,65961,
Varsham (2014 film),1,17571,
Quantitative research,1,14559,
Sir Julius Vogel Award,1,15496,
Cider,1,115227,
Lady Anne Monson,1,3620,
5 Seconds of Summer (album),1,41599,
Daisy Elizabeth Lenoir Elliott,1,27,
Ana Figueroa Gajargo,1,25,
Deanna Church,1,30,
Katherine M. Flegal,1,30,
Pamela Soltis,1,30,
Julie Walters,1,33834,
San Diego Convention Center,1,9608,
International education,1,14661,
Chicago Spire,1,46820,
Nathaniel Philbrick,1,9970,
Stephen Roskill,1,9611,
Macromarketing,1,12016,
Beijing Design Week,1,6612,
Interconnected world,1,32,
FIFA coins,1,35,
List of people from Louisiana,1,123880,
Archer Daniels Midland,1,21982,
List of people from Maine,1,20480,
Shale oil,1,26855,
Predicting the timing of peak oil,2,42020,
List of people from Lafayette_ Louisiana,1,10821,
Hydraulic fracturing in the United Kingdom,2,101887,
Tennessee,1,109924,
Female,2,7743,
List of Johnny Test characters,4,27442,
That's My Boy (2012 film),3,17811,
Williamsbridge_ Bronx,1,5233,
Terry stop,1,12742,
Bill de Blasio,3,60001,
New York City Police Academy,1,2339,
Stop-and-frisk in New York City,3,22233,
52-hertz whale,1,8034,
Cooking,1,34474,
Rei Sakuma,1,4929,
Hitoshi Takagi,1,2228,
Cuthbertson High School,1,2645,
David Hulin,1,4787,
Kalangadoo_ South Australia,9,3097,
Ride cymbal,1,6893,
Nitrogen cycle,1,26697,
Community Resources Against Street Hoodlums,1,12178,
Rooney Rule,1,17246,
Ayan Mukerji,1,7582,
Russia national football team,1,88908,
Hitler Has Only Got One Ball,1,10211,
The Tale of Igor's Campaign,1,19981,
Transient receptor potential channel,1,9813,
SUNY Downstate Medical Center,1,24545,
Thermal runaway,1,29544,
Sexually dimorphic nucleus,1,20989,
Galanin,1,23492,
Periventricular nucleus,1,1136,
Argentine cuisine,1,31657,
Phonograph,1,99737,
Espresso,1,24625,
Sound recording and reproduction,1,51310,
Preservation (library and archival science),1,66329,
Preservation of magnetic audiotape,2,9885,
Vinyl disc records preservation,1,16623,
Merienda,1,4091,
Last universal ancestor,1,17226,
Zazel,5,15162,
Introduction to evolution,1,72893,
Curiosity (rover),1,105980,
Noise pollution,1,17963,
Charaka,1,7170,
Water pollution,1,37789,
Sushruta Samhita,1,17041,
Ganesha,1,81227,
18th century,1,68001,
King David Hotel bombing,1,48219,
Anglo-Dutch Treaty of 1814,1,2531,
Norse colonization of the Americas,1,20949,
Third Period,1,11594,
Soviet Navy,1,31142,
Extreme points of Europe,1,5425,
Hugh O'Flaherty,1,16177,
Royal Irish Regiment (1992),1,21676,
Downing Street mortar attack,1,14767,
Binary prefix,1,88695,
Voyager 1,1,79122,
Province of Canada,2,39055,
Huidong County_ Guangdong,2,2807,
Waitung,1,39,
Kabaddi,1,19012,
Knut Hamsun,1,30504,
LGBT rights in Finland,2,29848,
George Kalovelonis,1,1395,
History of immigration to Canada,1,28859,
Riser card,1,1798,
Andrew Jackson,3,120814,
Herodotus,1,58738,
Scientific method,4,141192,
Budweiser,1,34320,
India pale ale,1,11127,
Pulque,1,32405,
Porter (beer),1,12902,
Huns,1,58126,
Tajiks,3,38904,
Naginata,2,16595,
Ono (weapon),1,2660,
History of writing,1,44872,
Hunor and Magor,1,8724,
David Wynn Miller,1,19162,
Steve Biko,2,28881,
Anderson Bruford Wakeman Howe (album),3,8697,
Wolf 359 (The Outer Limits),3,5265,
Scandal (TV series),2,62947,
Composting toilet,7,21895,
Uses of compost,1,10921,
Prime factor,1,6498,
Timeshare,1,36430,
Windows Error Reporting,4,12521,
Courtney Boyd Myers,1,3072,
Tiny Times,1,6523,
Fifteen Million Merits (Black Mirror),1,8072,
Windows Dev Center Hardware and Desktop Dashboard,1,20,
Wildlife conservation,1,17502,
Trade,1,39002,
Fluconazole,1,17112,
Ebola virus disease,1,149394,
January 9,2,38835,
Skoal (tobacco),1,10511,
Siri,1,37270,
Happy New Year (2014 film),1,43011,
Shaka,1,48687,
Flag of South Africa,1,15617,
Carbon County_ Montana,1,10528,
Bridger_ Montana,1,9443,
Laura Ingalls Wilder,2,41110,
Josef Hoffmann,1,13432,
List of wind farms in the United States,2,22161,
Anni Schaad,1,2617,
Piltzville_ Montana,1,6124,
Light-emitting diode,1,123351,
Pembroke Cricket Club,1,3258,
Eoghan McDermott,1,6832,
Ceramic,2,18534,
'Ain Ghazal,1,5252,
Catherine de Bourbon,1,6306,
Gary O. Rollefson,2,3667,
Anne Boleyn,1,93456,
Tim Healy (actor),1,6959,
Magnus Magnusson,1,8516,
Will Boulware,1,3473,
Mike Ware (photographer),3,1674,
Will Calihan,1,2646,
Duchess Elisabeth Sophie of Mecklenburg,1,3257,
Pierre Cadéac,1,5073,
Nelson Mandela,6,174836,
Gas,1,38929,
Jennifer Pham,1,2140,
Imagine (John Lennon song),3,62810,
Frozen (2013 film),2,226161,
Arbitrage,2,45779,
Bicycle,1,65698,
Ajax Youth Academy,1,18049,
Brabourne Stadium,1,62082,
Education in Portugal,2,63708,
Eastbourne Buses,1,11412,
National Library Service of Malawi,1,4816,
Mixed Armistice Commissions,2,17783,
Michael O'Hickey,1,3084,
Douglas Harbour,1,25633,
Hama Rashid revolt,1,8098,
Emancipation Proclamation,1,79798,
Roanoke Colony,1,42762,
Great Smog,1,13036,
Wild turkey,1,36693,
Black-eyed pea,1,15150,
Brown marmorated stink bug,1,23770,
Chemical weapon,1,48158,
Atlantis,1,60066,
December 31,1,36207,
June 30,1,32082,
Food pyramid (nutrition),5,28014,
Sexism,2,137063,
SeaWorld,1,28676,
White wine,1,131158,
Kirkwall Ba game,1,9482,
The Hunger Games: Mockingjay – Part 1,2,86625,
Beaker culture,1,83332,
Battle of Aljubarrota,1,23023,
Battle of the Standard,1,52401,
Balsamic vinegar,1,10525,
Baudhayana sutras,1,9824,
Bill Engvall,1,16314,
Bandarban District,1,26217,
Baseball Prospectus,1,75423,
Battle of Uhud,1,32699,
Battle of Arroyo dos Molinos,1,8100,
Antimicrobial resistance,3,101950,
Bigfoot,1,54931,
Malaria,1,125204,
DNA vaccination,1,72615,
Burzynski Clinic,1,50576,
Meningitis,1,76211,
Cipargamin,1,4248,
Exhumation and reburial of Richard III of England,1,51206,
List of content management systems,1,39311,
Augrabies Falls National Park,1,3543,
CakePHP,1,6389,
Springbok_ Northern Cape,1,4684,
Comparison of web frameworks,2,59908,
D. F. Malherbe,1,2125,
List of top international rankings by country,1,168881,
Gulf Arabic,1,15689,
Adam Levine (press aide),1,4266,
X-Nation 2099,1,11672,
Tamagotchi Connection: Corner Shop 3,1,3077,
DESI-III,1,1591,
Big Brother Norway,1,50536,
Song poetry,1,8805,
Books: Feed Your Head,1,3069,
Gain stage,1,2021,
2013 Hønefoss BK season,1,35813,
Big Bang,1,91926,
Racism,2,146439,
Marimba Ani,2,13239,
Discrimination,4,63425,
Gender,2,125064,
Gender neutrality,2,34931,
My Sweet Lord,1,93258,
Penguins of Madagascar,1,42947,
Night at the Museum: Secret of the Tomb,1,36411,
The Hunger Games: Mockingjay – Part 1,1,87118,
Annie (2014 film),4,30867,
Nalli Kuppuswami Chetti,1,5269,
New (Paul McCartney song),1,6996,
East Oolitic_ Indiana,2,4587,
Erie_ Lawrence County_ Indiana,1,4115,
Fayetteville_ Indiana,1,5864,
Fort Ritner_ Indiana,1,4090,
Georgia_ Indiana,1,4038,
Guthrie_ Indiana,1,4127,
Dark Hollow (Once Upon a Time),1,19247,
Dark Hollow,1,159,
Reverse Logic,1,1188,
Rick Wakeman's Greatest Hits,1,2511,
Reverse Logic (album),2,63,
Rick Wakeman's Greatest Hits (album),2,78,
M5 Half-track,1,6434,
Autocar U8144T,6,2114,
Bobby Beaton,1,5018,
BUITEMS,1,4671,
Golden Monkey tea,1,3891,
Tudor Parfitt,1,16929,
List of predecessors of sovereign states in Europe,1,39725,
Gemini Film Circuit,1,4204,
Ivana Andrés,1,2231,
Rajya Sabha TV,1,4667,
White Oak High School,1,2563,
Robert Capa,1,25631,
Jeff,1,9457,
Natasha Lyonne,1,25870,
William Mason High School (Mason_ Ohio),1,23880,
Indonesia AirAsia Flight 8501,3,23106,
John Belushi,1,22745,
Benguet,3,31749,
London 2 South,1,1039,
London 2 North,1,469,
Modern Creation,1,30,
SS Wisła (1928),1,639,
Joseph Stalin,1,205541,
Planescape: Torment,1,58338,
Good King Wenceslas,1,21304,
Nikolay Umov,1,5087,
Early life of Joseph Stalin,4,35728,
The Wolf of Wall Street (2013 film),2,54626,
Blastophaga psenes,1,18242,
Brachygastra lecheguana,4,25533,
Mischocyttarus mexicanus,1,18086,
European hornet,1,18932,
Vespula atropilosa,2,23312,
Mischocyttarus drewseni,5,19762,
Felix and Regula,1,6137,
Nilus of Sinai,1,8771,
Coptic saints,1,15297,
Ababius,1,1231,
Abib and Apollo,1,2037,
Abraham (Copt),1,4117,
Poemen,1,6753,
Misael the Anchorite,1,3184,
Polish–Soviet War,1,114416,
Polish–Russian Wars,3,1595,
Peak oil,1,133104,
APT (programming language),1,5396,
World War I,1,236533,
Wojtek (bear),1,12945,
Polyamide-imide,4,11810,
N-Methyl-2-pyrrolidone,2,4803,
Nokia 5110,2,2723,
Arduino,1,22645,
December 30,1,33768,
Danse Macabre,1,26524,
Social contract,1,36008,
Political corruption,1,70866,
Diplomatic recognition,1,11539,
Schwanengesang,1,5989,
Reservation (law),1,18958,
Charter 08,1,12503,
Yogyakarta Principles,1,28792,
Proletariat,1,13456,
French fries,1,35166,
Tamil Nadu,2,146064,
Dentistry,1,28992,
Kidneys_ ureters_ and bladder x-ray,1,2508,
Neurosurgery,1,14627,
Canning,1,27182,
Breisgau-Hochschwarzwald,1,4788,
Thyroidectomy,1,5887,
Jersey Shore shark attacks of 1916,1,44205,
Zen Nihon kendō renmei Jōdō,1,8642,
Valencian Community,1,65703,
Trinity (nuclear test),1,79395,
Tube Alloys,1,35190,
Cape Town,3,85984,
Transport in South Africa,1,8629,
Cape Town International Airport,1,24728,
List of hospitals in South Africa,1,17170,
Khayelitsha,2,25856,
MyCiTi,2,3135,
Confederate States of America,1,238969,
Flags of the Confederate States of America,1,58033,
PlayStation VR,1,3921,
Callawassie Island,1,43718,
Marine wildlife of Baa Atoll,1,46051,
Till Nowak,1,23940,
Radisson Hotel Martinique,1,13974,
Bodhisattva,1,24910,
Corporation,1,35106,
Nile,1,59505,
Kottakuppam,1,4292,
Cell fate determination,1,10461,
Vibration,1,43095,
South African Military Academy,2,10892,
Warrior-class strike craft,1,11681,
Coat of arms of South Africa,1,12272,
Zimbabwe,3,140332,
Flag of South Africa,1,15626,
Flag of Mozambique,1,4235,
Crime in South Africa,3,23960,
Murutic languages,1,1134,
Uradhi language,1,3891,
Sabah Bisaya language,1,670,
Papar language,1,613,
Tidongic languages,1,30,
Food security,2,95884,
John Gillespie Magee_ Jr.,1,22817,
Grant Hill,1,41267,
Goal celebration,1,33910,
Etsy,1,40307,
Pamela McGee,1,6903,
Surname,1,38322,
Habitational name,1,39,
Habitative name,1,39,
Occupational name,1,42,
Habitation name,1,39,
Eke-name,1,45,
Location name,1,56,
Ornamental name,1,57,
Cognominal surname,1,70,
Nickname surname,1,45,
List of awards and nominations received by Shahid Kapoor,1,11412,
D.O. (singer),1,7649,
Luhan (singer),5,11520,
Scientific method,1,140757,
Bering Strait crossing,2,22296,
MV Sewol,1,10960,
Terrace farm,1,35,
Chonghaejin Marine Company,1,32,
Chonghaejin,1,32,
Human swimming,1,26121,
Pomegranate,1,65588,
Supermax prison,2,31493,
Extended Validation Certificate,1,20877,
Compassionate release,1,19854,
Boeing KC-135 Stratotanker,1,70932,
Hand washing,1,36892,
J'attendrai,1,5024,
Air Force Specialty Code,1,28023,
Bath School disaster,1,50382,
AP Psychology,1,4161,
Tecumseh High School (Michigan),1,5794,
Test (assessment),2,42761,
Economy of Germany,1,59904,
Economy of South Africa,1,77014,
Jenny Powell,1,4765,
Mitchells Plain,1,10301,
Errol Tobias,3,16837,
Guy Scott,3,11736,
Green Party of England and Wales,1,33976,
Shankill_ Dublin,1,21126,
Solomon Grundy,1,5449,
New Era Cap Company,1,5268,
Institute of Chartered Accountants of India,1,53206,
Midlands Technical College,1,10841,
Mission Possible,1,4609,
Burnett Park_ Fort Worth_ Texas,1,3093,
Bullying,4,58930,
Polydactyly,1,50761,
Seborrhoeic dermatitis,1,14407,
Carleton Watkins,2,12560,
James D. Phelan,1,10140,
Kenneth Callahan,1,11664,
Frédéric Bremer,1,8875,
Edith Cavell Memorial,1,5827,
Seattle Saracens,1,4234,
Fraser Valley Rugby Union,1,1373,
Chuckanut Bay RFC,1,6819,
Meraloma Rugby,1,3606,
Abbotsford RFC,1,3279,
Richmond Rugby Football Club,1,8327,
Gender role,1,92773,
Rap Sheet,1,2660,
Woh Main Nahin,1,3153,
Sonik Omi,1,648,
University of Texas at Austin School of Social Work,2,2207,
Russian colonization of the Americas,1,17140,
Gas,1,38952,
New wave music,3,53877,
Altered Images,1,15216,
National Museum of Scotland,1,16342,
Northwest Airlines,2,92367,
North Kitsap School District,1,4291,
André Gauthier (sculptor),1,21304,
Airlift Northwest,1,6035,
Indonesia AirAsia Flight 8501,1,42165,
Centrosome,1,17539,
Comté cheese,2,6030,
Amphimedon queenslandica,1,3141,
Schwurhand,1,3550,
Donald Allan Darling,1,4184,
San Gabriel Mountains National Monument,1,4551,
Virgo Supercluster,1,16742,
Horologium Supercluster,1,2717,
Hercules-Corona Borealis Great Wall,1,17534,
Bullet Group,1,4512,
Laniakea Supercluster,1,8678,
Wang Laboratories,1,55786,
Hatton National Bank,1,7283,
Black Hat Briefings,1,6362,
Da Ya Think I'm Sexy?,1,23700,
Twink (gay slang),1,10938,
Vassilis Mazomenos,1,10570,
YOTEL,1,10172,
Big E Langston,1,33615,
Latitude,1,41898,
Papua (province),1,32724,
Winnie Madikizela-Mandela,1,28681,
Susilo Bambang Yudhoyono,1,50967,
2003 Marriott Hotel bombing,1,21382,
Indonesia 2000 census,1,2681,
Indonesia–United States relations,1,24739,
Marsillam Simanjuntak,2,1051,
Public holidays in Australia,3,31584,
Gorani people,2,26697,
Rise of Macedon,1,122399,
Phoenicia,1,55645,
2014 Sydney hostage crisis,2,77512,
Wax,2,11715,
Hoboken_ New Jersey,1,97064,
Real-time gross settlement,1,11857,
Jindo (island),1,9805,
Gold Base,1,68830,
Legal consciousness,2,2990,
Archangel,1,24926,
Building 429,1,21337,
Saint Michael in the Catholic Church,2,31622,
National intranet,2,2527,
Boardman_ North Carolina,1,5204,
Bolton_ North Carolina,1,6003,
Brunswick_ North Carolina,1,5202,
Cerro Gordo_ North Carolina,1,5888,
Chadbourn_ North Carolina,1,5499,
Fair Bluff_ North Carolina,1,5691,
Lake Waccamaw_ North Carolina,1,7602,
Sandyfield_ North Carolina,1,5745,
Tabor City_ North Carolina,1,66570,
Meherrin,1,3801,
Compass,8,78781,
Magnetic declination,2,18860,
Djibouti Armed Forces,3,16478,
Selkie,2,15959,
Rhysling Award,2,7445,
Muse Hassan Sheikh Sayid Abdulle,2,9863,
Guinea,2,68216,
List of drummers,3,58672,
Mandinka people,1,26595,
Sound,1,16511,
Obsessive–compulsive disorder,1,68846,
List of female drummers,1,8081,
Economy of Chile,1,57484,
Goths,2,54620,
Economy of Mexico,1,121585,
Martin Seligman,1,17505,
Anti-Russian sentiment,1,79111,
Eugene Goostman,2,13734,
Russians in Sweden,1,1492,
Jul (Sweden),1,10660,
Intensive farming,5,59685,
Intensive crop farming,3,17609,
South African cuisine,1,19173,
Chesapeake and Ohio Canal,1,108044,
Paw Paw Tunnel,1,9004,
Chesapeake and Ohio Canal National Historical Park,1,30153,
Monocacy Aqueduct,1,4432,
Tidewater Lock,1,2055,
Locks on the Chesapeake and Ohio Canal,1,39533,
Canal Place,1,3720,
Ballast water discharge and the environment,1,324,
Seneca Aqueduct,1,3974,
Aqueducts on the C&O Canal,1,12012,
Electrical conductor,2,10218,
Torresian crow,1,8237,
Common raven,1,61518,
Hill swallow,1,2409,
Attwater's prairie chicken,1,7623,
Alcohol abuse,1,45570,
Waipahu_ Hawaii,1,19881,
Malcolm McDowell,1,30932,
Sōja,1,2809,
Edward Herrmann,1,20668,
Narara_ New South Wales,1,3757,
Zhajiangmian,1,3499,
Sweet bean sauce,1,2896,
Bedford Flag,1,3671,
Guilford Courthouse flag,1,3883,
Serapis flag,1,4921,
Politics of the United States,1,60559,
Anthony Gardner,1,27726,
Lockhart River_ Queensland,1,18529,
Myocardial infarction,1,90170,
118 (TV series),1,24309,
Latitude,1,41778,
Natura 2000,1,11041,
Bobbin lace,1,15246,
Ghanaian cedi,1,34889,
National Liberal Club,1,122071,
Rafida,1,9643,
Alexandre Saint-Yves d'Alveydre,1,9734,
Ludwik Dorn,1,7259,
Operation Magic Carpet (Yemen),1,11054,
Armel Beaufils,1,28610,
Élisabeth de Mac Mahon,1,1459,
Dictionary,1,33905,
Hamlet,1,118242,
Candy,1,29341,
Gangster,1,42647,
Vegetable,1,32484,
Isolation (database systems),1,20164,
QR code,1,41132,
Expo 2015,1,46159,
Elektrithone,2,4909,
Leonid Korotkov,1,3277,
Iryna Yanovych,1,1802,
Aleksandr Filtsov,1,3611,
Yuri Avrutskiy,1,2280,
Vasili Oshchepkov,2,2417,
Birchgrove_ New South Wales,1,11117,
Earth,1,145737,
1908 Messina earthquake,1,11211,
Bunter Sandstone Formation,1,27,
Causey Pike Fault,2,3477,
Hendrikus Berkhof,1,3000,
ESV Study Bible,2,4774,
Joshua Utanga,3,1436,
Josh Utanga,1,26,
Light pen,1,3334,
All Saints,1,2483,
Haag,2,1453,
G-20 major economies,1,67773,
Elizabeth Quay,1,20227,
Jager Stores,1,6316,
Western Australian shark cull,1,47929,
Mangowine Homestead,1,1739,
2014 Sydney hostage crisis,1,79727,
Buyisiwe Sondezi,10,9057,
Child abandonment,1,19425,
Causeway,1,10630,
Tecnam,2,3876,
Tethered balloon,1,7291,
Gatsby (sandwich),1,2627,
List of power stations in South Africa,1,67093,
Van Stadens Wind Farm,1,2837,
Born This Way (song),1,139498,
BtoB (band),1,28565,
J (programming language),1,17270,
Shona Robison,1,6753,
Triceps brachii muscle,1,10215,
Teodor Meleșcanu,1,7582,
Blackfish (film),1,25826,
Rajbeer Singh,1,3185,
Poznań,1,69457,
Humanitarian situation during the war in Donbass,7,66319,
Scarborough (Metro-North station),2,19805,
Water supply and sanitation in Egypt,5,67967,
Alexandria Water Company,5,9190,
Zahi Hawass,1,33477,
Black Egyptian hypothesis,2,55200,
FIPS,1,715,
PostgreSQL,1,68142,
GNU Units,1,10505,
Shapefile,1,14980,
GOP (disambiguation),2,850,
PSQL,1,205,
The Interview (2014 film),1,41234,
The Interview (film),1,40,
Psql (PostgreSQL),1,28,
Heraldry Council,1,7241,
Coat of arms of the Cape Colony,1,4563,
Coat of arms of the Western Cape,1,2695,
Leonard Holliday,1,6810,
William Holliday,1,4994,
Coat of arms of the Orange River Colony,1,2852,
Coat of arms of Stellaland,2,4040,
Heraldry Society of Southern Africa,1,1022,
Walter Halliday,1,8685,
Marfan syndrome,1,43650,
Harness racing,1,26574,
Karimata Islands,1,1597,
Edmonton Light Rail Transit,1,45460,
List of countries by traffic-related death rate,1,33686,
The Help,2,14169,
Banana production in Ecuador,3,14176,
Herero and Namaqua Genocide,1,57432,
Atom,1,109902,
Religion in Canada,2,81228,
Daisy Ridley,2,9933,
Marie Henein,1,5678,
Arguments for and against drug prohibition,1,141788,
Our Lady of Holy Cross College,1,6771,
Isabella I of Castile,1,92818,
Liechtenstein,2,56717,
Osteomyelitis,3,17895,
Metaphysis,1,3043,
Castle of Good Hope,1,9785,
Territorial possessions of the Sovereign Military Order of Malta,1,15331,
Europe,1,148496,
Prince Marko,1,54976,
Cities of the Philippines,1,68019,
Principality of Serbia (medieval),1,33003,
Serbian Orthodox Church,1,55379,
History of the Serbs,1,30857,
Mutimir of Serbia,1,16802,
List of Philippine cities and municipalities by population,1,28140,
Duchy of Croatia,1,31044,
Lemery Church,1,4169,
European Radicals in Sri Lanka,1,1209,
Liberal Egyptian Party,1,3586,
Honey,2,74650,
Multiplexer,1,11859,
Circuit diagram,4,10121,
Amazon.com,3,143479,
Keith Haring,1,29981,
Eminem,1,146739,
8 Mile (film),2,25062,
The Interview (2014 film),3,47368,
Modern evolutionary synthesis,2,49624,
Mayflower (disambiguation),1,2592,
Geographers' A–Z Street Atlas,3,4872,
Champion,1,5578,
Isy Suttie,1,16576,
The A–Z of Mrs P,2,9262,
The A-Z of Mrs P,1,48,
J. M. Howell,2,3121,
Howell Park Uptown Dallas,1,42,
Hydraulics,2,11357,
Hydraulic machinery,1,34470,
2011 in film,1,178635,
2011 New York Red Bulls season,1,133000,
2011 in the United States,1,203024,
2011 in Australia,1,69328,
2011 Indian anti-corruption movement,1,105922,
2011 Lake Champlain and Richelieu River floods,1,5334,
2011 NBA lockout,1,93321,
2011 in birding and ornithology,1,13140,
2011 Macau Grand Prix,1,50572,
2011 NATO attack in Pakistan,1,126744,
Caudillo,1,6012,
Head of Government of Tunisia,1,15494,
President of the Assembly of the Representatives of the People,1,4818,
List of Presidents of the National Assembly of People's Power (Cuba),6,1940,
Mahmoud Messadi,1,1304,
Neamț County,1,7287,
Ecaterina Nazare,1,5833,
Abingdon Bridge,1,8547,
SCM Petrotub Roman,1,1534,
Jorgovanka Tabaković,1,5102,
Iuliana Paleu,1,2993,
Mirjeta Shala,1,2324,
Barack Obama,1,253838,
English-language vowel changes before historic /r/,2,49342,
American and British English pronunciation differences,5,95106,
Comparison of General American and Received Pronunciation,2,8800,
Hydrostatic shock,4,42830,
Neuropsychology,1,25831,
Stopping power,2,39250,
Hydraulic circuit,1,2203,
Oliver Farm Equipment Company,1,22708,
Coal,1,79908,
Galaxy,1,86267,
Walmart,1,132965,
Gray wolf,1,162739,
Deer,1,64138,
Dan Bilzerian,1,16696,
Flag of South Africa,1,15741,
Flag of Ukraine,1,33696,
Export blockade of Ukraine by Russia,5,26292,
Propaganda,1,110238,
Plastic surgery,1,30288,
Colocation centre,1,19147,
Oracle Database,1,106198,
Chikungunya,1,52850,
Fully qualified domain name,1,4530,
Mattress,1,35410,
Internet privacy,1,94875,
Multi-level marketing,1,27813,
Kwashiorkor,1,10060,
Running,3,47133,
Heart,4,117197,
Long-distance running,2,24825,
List of mayors of Toronto,1,29987,
John Beverley Robinson,1,8623,
William Henry Boulton,1,3561,
2007–08 York City F.C. season,1,48986,
John Hutchison (mayor),1,1725,
John Hutchison,2,367,
John Hutchison (disambiguation),1,44,
Lucid dream,2,46979,
Zebra murders,1,16815,
Relaxation technique,3,6927,
Health,1,34136,
Fitness (biology),1,9815,
Physical fitness,1,20093,
Fitness (magazine),1,5463,
1 Police Plaza,1,7444,
Howard Walker (ice hockey),1,2812,
Randy Richardville,1,6642,
Michigan House of Representatives elections_ 2012,1,93381,
Michigan Senate elections_ 2014,4,47776,
Michigan Senate elections_ 2010,2,42552,
Fair trade,4,97072,
Battle of Bhaktapur,1,11497,
Preposition and postposition,6,41590,
Tom Piper,1,4586,
Prepositional adverb,1,1683,
Paul Cummins,1,3781,
2015 New Year Honours,1,50661,
Flag of South Africa,2,15738,
Trams in Lviv,2,5579,
Vehicle registration plates of Ukraine,6,13502,
Common Agricultural Policy,1,74016,
Food security,2,100074,
Agreement on Agriculture,1,20574,
Food vs. fuel,1,23863,
2007–08 world food price crisis,1,91539,
Brazil–United States cotton dispute,2,6791,
Exocrine gland,1,3051,
List of birds of the Netherlands,2,27000,
List of mammals of Estonia,1,4028,
List of mammals of Georgia (country),1,15505,
Human embryogenesis,4,25853,
Longitude,1,24406,
Tsonga people,2,12174,
Rainbow nation,1,4128,
Skukuza,2,7539,
Zimbabwean presidential election_ 2002,1,4620,
Massingir Dam,1,4197,
Lynmouth,1,8896,
Dolphin Hotel_ Southampton,2,2051,
Janet Murray,1,7288,
Jay David Bolter,1,6788,
Ian Bogost,1,6772,
Carol Senf,1,4804,
Richard Utz,1,12349,
School of Literature_ Media_ and Communication,5,6127,
Body mass index,2,73297,
Economy of Thailand,1,71161,
Rainbow,2,57077,
Airport Rail Link (Bangkok),1,21900,
Mortgage loan,1,46512,
Season,1,35262,
Walmart,1,132965,
PlayStation 4,2,94306,
Tiyo Soga,2,10710,
Nudity in religion,1,22739,
James Phillips (musician),1,13880,
William Lloyd,2,1760,
Henry Montgomery Campbell,2,11799,
William Lloyd (minister),1,48,
Light-emitting diode,1,123347,
Electric heating,4,21146,
Radiant heating,1,4071,
Engineered stone,1,9934,
Soil moisture sensor,1,4900,
History of Bulgaria,1,95811,
Prehistory of the Balkans,3,24033,
Kozarnika,2,3766,
Prehistory of Anatolia,2,32773,
Water well,1,28710,
Olkiluoto Nuclear Power Plant,1,28323,
Climate change in Sweden,5,9943,
Climate change in the United Kingdom,3,18688,
Climate change in Finland,1,12216,
Aspartame,1,54915,
Jeffrey M. Smith,1,12335,
Talmud,1,106109,
Borough Park_ Brooklyn,1,27489,
Hand washing,1,37013,
Gusset,1,3373,
Our Place (organization),1,4916,
Nokia,1,120781,
Yorkshire dialect,3,33908,
Gerald Bostock,2,8343,
New York City English,2,80158,
Phonological history of English diphthongs,1,30774,
Rhoticity in English,1,52362,
Water well,1,28787,
John Hanson,1,27494,
Military slang,1,11735,
Yak,2,24470,
Mountain goat,1,12827,
Soil,5,198446,
Rotation period,2,8750,
World War I,2,236555,
Saudade,1,27900,
Rail transport,1,67705,
List of railway stations in India,1,196780,
Hair,1,69058,
Wax,1,11773,
Toe,1,13799,
Green tea,1,28050,
Dental braces,1,31120,
John Stamos,1,27106,
Jon Kitna,1,13146,
Ballenstedt,1,7369,
West Chester University,1,18147,
Scandinavia,1,62078,
Amanda Seyfried,1,43102,
DVD,1,45961,
No gods_ no masters,2,5761,
Aurornis,1,9197,
No Gods No Masters,1,1915,
Steve Biko,2,29206,
Kiss,1,55926,
Mike Campbell (farmer),1,6753,
Toreador,1,890,
Tickhill,1,9320,
Downtown Austin,1,35746,
Inter Shipping,1,2558,
Alpha Gamma Omega,1,8034,
Sigma Phi Lambda,1,11006,
Sigma Alpha Omega,1,7759,
Delta Psi Epsilon,1,4748,
Phi Beta Chi,1,6407,
LDS Student Association,1,3168,
Theta Phi Sigma,2,6753,
Kappa Phi,1,4743,
Arthur Miller,1,46908,
Design,1,29150,
Henrik Ibsen,1,39788,
Camera obscura,1,17290,
Victorian house,1,11364,
Nicholas Charles Williams,1,4306,
Simon Morrison,1,10050,
Drive-in theater,4,20138,
Sand,1,14240,
Time Person of the Year,2,43541,
